,docdb_family_id,appln_id,appln_abstract
10,63755,21944682,"420,458. Coating with metals. KARTENBERG, F., 16, Schulstrasse, Gevelsberg, Germany. July 24, 1933, No. 20809. [Class 82 (ii)] Wire or band-like material to be annealed and coated with metal by dipping in a continuous process is passed through cooling means, situated between the annealing means and the coating bath, which can be adjusted according to the nature of the material and its rate of travel so that the material is cooled down to approximately the temperature of the molten metal. Oxidation of the material is prevented by passing it through a protective layer, such as salt or coke, which extends either continuously from the annealing means to the coating bath, or from the annealing means to the cooling means and from the cooling means to the coating bath. In the form shown in Fig. 1 a wire b passes through an annealing bath a of molten lead, any excess lead being removed by layers d e of fine coke, coal dust &c. into a protective layer of salt f. A vessel g contains cooling liquid such as soldering fluid or water and the wire passes into the cooling liquid under a roller h. Either the vessel g or the roller h is movable vertically so that the time of immersion of the wire may be varied. The wire then passes through a protective layer f <1>, e.g. of salt, and into the bath of molten metal i. The salt f forms a protective layer on the wire which acts as a flux and is not removed by the cooling liquid if soldering fluid is used ; if water is used the wire must be passed through a flux after leaving the cooling bath and before entering the coating bath. In the form shown in Fig. 2 the protective layer consists of a continuous layer of coke f divided transversely by partitions q, pipes p from which cooling fluid may be sprinkled being situated above the compartments formed by the partitions. The floor o on which the layer f rests slopes downward and is provided with apertures for the discharge of excess liquid. The wire passes either above the partitions q or through comb-like clearances therein, the degree of cooling being regulated by the number of pipes brought into use. A chimney k is provided for the escape of gases and vapours. The bath of molten metal, e.g. zinc, need not be heated except by the waste gases from the heating of the annealing means."
11,71607,22331092,"Organic halogen compounds are incorporated into plants containing chlorophyll, and a complex containing a colloidal organic magnesium halogen compound extracted therefrom. Parts of plants such as stems, leaves, and needles may be treated and the whole or part of the plant used for the extraction. Plants with strongly developed parenchyme such as cacti, aloes, and agavae are preferred especially those exhibiting coloured markings such as the aucuba thunb. Organic bromine compounds, especially the lower aliphatic compounds such as ethylene bromide, brominated alcohols, aldehydes ketones, and carboxylic acids may be used, in particular ethylene bromhydrin and tribromethyl alcohol. Aqueous solutions may be employed with the addition, if necessary, of solvents, in particular glucuronic acid. The halogen compounds are incorporated in the plant by addition to the culture medium in solid form, alone or mixed with fertilizers, by watering, dusting, or spraying, by respiration in an atmosphere containing a gaseous compound or by injection as with an injection syringe. The complex formed can be extracted with distilled water or solutions of suitable osmotic pressure which cause swelling or shrinking of the plant cells, the temperature being kept below 50 DEG C. Phenols or other sterilizing agents may be added to the extraction liquid, and the plants previously washed and sterilized. Alternatively, the plants may be tapped or the complex withdrawn by means of an injection syringe. In some cases anomalies of growth such as cysts form on the plants, these being enriched in the complex. An aucuba thunb, having a rising sap stream is watered in the absence of sunlight with an aqueous solution containing 3 c.c. ethylene bromhydrin per litre, 300 c.c. being used every other day. After 3--4 weeks a brown colouration of the plant indicates formation of the complex. The leaves are cut off, sterilized with carbolic acid solution, cut into strips, drained, and 30 g. extracted with 1 litre of 0,5 per cent sodium chloride solution containing 0,5 per cent phenol, usually for 36 hours. By using larger amounts of leaf and of sodium chloride, the colloidal complex is precipitated. The product can convert carbonic acid into formaldehyde and polymerize aldehydes to higher complexes.ALSO:Organic halogen compounds are incorporated into plants containing chlorophyll, and a complex containing a colloidal organic magnesium halogen compound extracted therefrom. Parts of plants such as stems, leaves, and needles may be treated and the whole or part of the plant used for the extraction. Plants with strongly developed parenchyme such as cacti, aloes, and agav are preferred especially those exhibiting coloured markings such as the aucuba thunb. Organic bromine compounds, especially the lower aliphatic compounds such as ethylene bromide, brominated alcohols, aldehydes, ketones, and carboxylic acids may be used, in particular ethylene bromhydrin and tribromethyl alcohol. Aqueous solutions may be employed with the addition, if necessary, of solvents, in particular glucuronic acid. The halogen compounds are incorporated in the plant by addition to the culture medium in solid form, alone or mixed with fertilizers, by watering, dusting, or spraying, by respiration in an atmosphere containing a gaseous compound or by injection as with an injection syringe. The complex formed can be extracted with distilled water or solutions of suitable osmotic pressure which cause swelling or shrinking of the plant cells, the temperature being kept below 50 DEG C. Alternatively the plants may be tapped or the complex withdrawn by means of an injection syringe. In some cases anomalies of growth such as cysts form on the plants, these being enriched in the complex. An aucuba thunb, having a rising sap stream is watered in the absence of sunlight with an aqueous solution containing 3 c.c. ethylene bromhydrin per litre, 300 c.c. being used every other day. After 3--4 weeks a brown colouration of the plant indicates formation of the complex. The leaves are cut off, sterilized with carbolic acid solution, cut into strips, drained, and 30 g. extracted with 1 litre of 0,5 per cent sodium chloride solution containing 0,5 per cent phenol, usually for 36 hours. By using larger amounts of leaf and of sodium chloride, the colloidal complex is precipitated. The product can convert carbonic acid into formaldehyde and polymerize aldehydes to higher complexes.ALSO:Organic halogen compounds are incorporated into plants containing chlorophyll, and a complex containing a colloidal organic magnesium halogen compound extracted therefrom. Parts of plants such as stems, leaves, and needles may be treated and the whole or part of the plant used for the extraction. Plants with strongly developed parenchyme such as cacti, aloes, and agavae are preferred, especially those exhibiting coloured markings such as the aucuba thunb. Organic bromine compounds, especially the lower aliphatic compounds such as ethylene bromide, brominated alcohols, aldehydes, ketones, and carboxylic acids may be used, in particular ethylene bromhydrin and tribrom-ethyl alcohol. Aqueous solutions may be employed with the addition, if necessary, of solvents, in particular glucuronic acid. The halogen compounds are incorporated in the plant by addition to the culture medium in solid form, alone or mixed with fertilizers, by watering, dusting, or spraying, by respiration in an atmosphere containing a gaseous compound, or by injection as with an injection syringe. The complex formed can be extracted with distilled water or solutions of suitable osmotic pressure which cause swelling or shrinking of the plant cells, the temperature being kept below 50 DEG C. Phenols or other sterilizing agents may be added to the extraction liquid, and the plants previously washed and sterilized. Alternatively, the plants may be tapped or the complex withdrawn by means of an injection syringe. In some cases anomalies of growth such as cysts form on the plants, these being enriched in the complex. An aucuba thunb. having a rising sap stream is watered in the absence of sunlight with an aqueous solution containing 3 c.c. ethylene bromhydrin per litre, 300 c.c. being used every other day. After 3-4 weeks a brown colouration of the plant indicates formation of the complex. The leaves are cut off, sterilized with carbolic acid solution, cut into strips, drained, and 30 g. extracted with 1 litre of 0,5 per cent sodium chloride solution containing 0,5 per cent phenol, usually for 36 hrs. After filtering and standing for 4 weeks, the solution is ready for use by injection in the treatment of diseases connected with metabolism such as carcinoma. By using larger amounts of leaf and of sodium chloride, the colloidal complex is precipitated and is used for suppositories and ointments. The product can convert carbonic acid into formaldehyde and polymerize aldehydes to higher complexes."
12,72660,21135564,"453,939. Condensers. BOSCH AKT.- GES., R., 4, Militõrstrasse, Stuttgart, Germany. Feb. 21, 1935, No. 5538. Convention date, March 15, 1934. [Class 38 (ii)] The electrodes of a condenser consist of metal coatings on dielectric sheets, the coatings being thinner than À001 millimetres, so that, on puncture of the dielectric the coatings will disappear from round the fault and thus be self-healing. With coatings so thin the energy required to effect this operation is comparatively small. The metal may be a noble metal or metal with low melting point such as cadmium or zinc and it may be applied to the paper &c. dielectric layer a, b in the Figure, directly as by the use of an adhesive or by deposition as by cathode atomization or metal vaporization or by dusting or spraying. The coatings c, d which are of opposite polarity extend from opposite sides and each set is conductively connected as by filling up the edges with metal as, for example, by spraying. Additional dielectric layers f, g may be inserted. For dielectric non-fibrous insulating material such as cellulose derivatives may be used or hardenable materials or polymerized vinyl compounds."
13,75982,22227185,"467,245. Reservoir brushes. BINON, G. Nov. 2, 1936, No. 29748. Convention date, Nov. 8, 1935. [Class 19] A device for coating surfaces with gum or other liquids comprises a container provided with a hood 2 of rubber with an inclined surface S terminating in a point 5. and provided with a slit 6. In a modification, Fig. 3, the surface S is formed in two planes separated by an edge 9 and two slits 6<1>, 62 are provided. The surface S may have ribs or channels 10 or small rubber projections to assist distribution."
14,77599,21173524,"478,403. Treatment of seeds and growing plants; germinating-appliances. PERIN, G. March 5, 1937, No. 6636. Convention date, March 5, 1936. [Classes 6 (ii) and 58] In a cabinet for the germination of seeds and growth of seedlings comprising a number of groups of trays arranged at different levels and means for intermittently supplying a nutritive liquid to the uppermost group, a float chamber is arranged to receive the liquid after it has passed through a group of trays and, when a particular level is reached in the chamber, to allow the liquid to pass into the next lower group, so that the seeds in the trays are automatically subjected to the action of the liquid for a relatively short time. The cabinet is air tight and insulated. The seeds are spread on screens 19 in the trays 8 and the nutritive liquid is supplied through pipes 18. When the liquid rises in the float chamber 15 the float 20, acting through an adjustable stop, causes a counter-balanced lever 22 to swing back through the vertical position, thus moving a slotted sector 24 and bringing the end of the slot into engagement with a pin on a rod 25 controlling a valve 26. The valve being thus opened the liquid escapes rapidly until its level reaches the upper edge of a small inner chamber 27, when it flows more slowly. It passes through pipes 18a into the next lower group of trays, where the operation is repeated. The Specification as open to inspection under Sect. 91 states that carbon dioxide is admitted to the cabinet to increase the carbon dioxide content of the air therein. The air may be passed through the flame of a burner in a compartment in the cabinet, the products of combustion passing into the cabinet with the air. This subject-matter does-not appear in the Specification as accepted."
15,77776,21220287,"462,933. Gas producers. KRUPP AKT.-GES., F. March 17, 1936, No. 7982. Convention date, March 23, 1935. [Class 55 (i)] In a gas producer in which the air supply, with or without steam, and the gas withdrawal are effected in the neighbourhood of the gasefication zone, the former is introduced through a central pipe 12 and the latter removed through outlets 3 in the periphery of the shaft, so as to produce a relatively shallow gasefication zone of truncated conical form with symmetrical flow of the gases therethrough. The direction of gasefication is reversible by interchanging the air supply and gas withdrawal. In a modification of the process, the gas supply and withdrawal are effected at the same level so as to produce a disc-shaped gasefication zone. In the alternative method of working, steam from a heat-exchanger 15, supplied with feedwater from an annular tank 16 in the upper part of the shaft and heated by the evolved gases from the pipe 12, is supplied to an external ring-shaped pipe 6 provided with spaced nozzles 7 terminating in front of nozzle-shaped vertical air inlets 5, the gases thoroughly mixing in an annular channel 4 within the wall of the producer before issuing into the fuel bed through horizontal spaced nozzles 3 arranged below the narrowest section of the shaft. The wall of the producer is thus cooled. If the latter is unnecessary such as with a wall composed of sillimanite, the channel 4 and inlets 5 may be dispensed with. Air may also be mixed with the steam in the heat-exchanger through a valved inlet 19. The single offtake pipe 12 may be replaced by a number of concentrically arranged pipes, these pipes being provided with perforated hoods 13 to prevent removal of fuel particles.. In the reversed method of working, the steam supply pipes 18, 6 are removed and replaced by draw-off pipes for the gaseous products connected to the vertical channels 5. In a modified form of the producer, the cooling channels 4, 5 in the shaft wall are replaced by an air- or water-cooled jacket, and the steam admission nozzles 7 terminate horizontally in front of the horizontal air inlets 3, the latter being also cooled by the jacket through which they pass. The upper part of the jacket is of spiral form to increase the cooling air velocity."
16,78481,21644239,"462,937. Gas producers. KRUPP AKT.-GES., F. May 1, 1936, No. 12390. Convention date, May 4, 1935. Addition to 462,933. [Class 55 (i)] The producer described in the parent Specification wherein the air-steam supply is introduced through a central pipe and the producer gases withdrawn through separate outlets in the periphery of the shaft, both being in the neighbourhood of the gasefication zone which assumes the form of a shallow cone, or as in a modification of a disc, the air supply and gas withdrawal being completely reversible, is modified by replacing the openings in the periphery of the shaft by an annular gap 4. Steam from a pipe 24 is supplied to an annular channel 8 surrounding the base of the shaft and issues through an adjustable aperture 7 where it mixes with the air supply through the gap 4. Both the gaps 4 and 7 are adjustable in width by movement of the spring plate 12 defining the aperture 7 and the independent slagcollecting chamber 6 relatively to each other, the spring plate and chamber 6 being interconnected by tension springs 13. In a modified form of the producer, the annular gap is replaced by a number of spaced openings surrounded by an air supply or gas withdrawal annular chamber of spiral form. In this modification, the perforated hood 16 of the central pipe 15 may be water or air-cooled; the water used may be admitted to the gasefication zone. When the air-steam mixture is supplied to this central pipe and the producer gases withdrawn at the periphery of the shaft, the air-steam mixture is controlled by a throttle valve in the pipe. Specification 218,804, [Class 55 (i)], is referred to."
17,81479,21953675,"491,752. Pulling flax &c. SOENENS, M. July 29, 1937, Nos. 21077 and 21078. Convention dates, July 30, 1936 and Dec. 22, 1936. [Class 6 (iii)] The machine is characterized by one or more elements each comprising two superposed pulling plates which rotate in opposite directions and each of which co-operates with a pulling belt. The machine frame comprises a cross member 3 supported by wheels 1 and extended at one side by a girder 4 serving for the attachment of the draught pole 5 and carrying a driving element 6. The member 3 supports shafts 9 carrying pulling plates 10 and each cranked to carry an offset plate 12. A belt 37 co-operates with each plate 12 by passing over a pulley 16, a pulley 14, part of the periphery of the plate 12 and a pulley 30 and a corresponding belt 38 co-operates with each plate 10 by passing over a pulley 16, pulley 14, a part of the periphery of the plate 12 and a pulley 30; these belts are driven in opposite direction by bevel gearing from a cross-shaft 21 actuated by the motor 6. Guides 33, carried by forwardly projecting rods 32 direct the stalks into the throats between the belts and the plates, the flax then being gripped between the belts and the plates and pulled upwards owing to the upward inclination of the pulling parts of the machine. The two rows of pulled flax for each element of the machine are carried to the rear where they are conducted in a single sheet to the outlet E by a guide 40. A belt 43 for each outlet, co-operating with a plate 44 spreads the flax on the ground if desired."
18,94354,22158771,"616,768. Flax-pulling machines. ALGOET, J. Sept. 12, 1946. No. 27493. Convention date, July 14, 1939. [Class 6 (iii)] A machine for lifting flax and similar crops is characterised in that the lifting device comprises a pneumatic tyred wheel 1, 2, rotating in a vertical or oblique plane transverse to the bearing carriage and co-operating with a smaller wheel or drum 3 so that the flax is dragged between the two through their rotation. Lifted crop is taken up by a conveyer 7 co-operating with the wheels 1, 2. The pressure between co-operating surfaces of the wheels 1, 2, 3 is adjusted by pressure of the tyre 2. The periphery of wheel 3 may have a coating such as rubber thereon."
19,105653,21833883,"602,810. Making girders &c. SOC. ANON. J. COCKERILL. July 10, 1945, No. 17573. Convention date, May 13, 1943. [Class 83 (ii)] Single bulb or T-sections are made by cutting the web of a double bulb or H-section. A variety of single bulb sections can be produced by varying the point at which the web of the double bulb is cut and the cut may be along.a plane oblique to the surface of the web as shown in Figs. 2 and 3. The web may be severed along two oblique planes giving a double chamfer, and the rounded corners of the bulb section conveniently form a fillet for the reception of weld metal when welding the sections to plates and the like. Specification 10924/07, [Class 83], is referred to."
20,108397,21993078,"In order more completely to remove the fine material from the aggregate in preparing a porous concrete the material is washed with water, and the washing may be followed by treatment with a dust-removing substance such as calcium chloride, this treatment taking place before, during, or after the addition of the cement or other binder."
21,113266,22079379,"622,833. Grinding crankshafts. MIESSE, J. Aug. 21, 1946, Nos. 24952 and 24953. Convention dates, Sept. 29, 1945, and July 3, 1946. [Class 60] A machine for grinding crankshafts comprises a base having rotatably mounted thereon a horizontal drive plate for centering and fixing the crankshaft to be ground while the latter is in the vertical position, the said base supporting a standard provided with a slideway, a carriage balanced by a counterweight being adapted to slide along the said slideway, the said carriage carrying a grinding mechanism suspended for oscillatory movement. The flange on the lower end of the crankshaft 18 is bolted to a rotary chuck plate 16<SP>1</SP> which can be locked to a plate 16 guided in a diametrical groove 17 in a diametrical groove 17 in a horizontal rotary plate 3 driven through a belt 5 by a motor 7 adjustably mounted so as to tension the belt. The axial bore in the upper end of the crankshaft is engaged by a centre 21 carried by a vertically-adjustable headstock 20. A steady rest 27 is carried by a vertically adjustable member 25. Movable on a vertical slide 11 is a carriage 12 balanced by a counterweight 13; the carriage has a tube 28 on which slides a sleeve 29 rigid with a bracket 30 carrying a grinding wheel 34 and its driving motor 31. By rocking the sleeve about the tube the grinding wheel can be disengaged from the work, and caused to engage it progressively. The grinding wheel is urged against the work by a spring 63, Fig. 5, terminating in a pawl 66 engaging a rack 67 secured to the bracket 30; the pawl can be disengaged from the rack by operation of a lever 71 to permit retraction of the sleeve 29. A shaft 54 slidably mounted in the bracket 30 engages a stop 55 on the carriage 12; the shaft is adjusted by a nut 59 non-slidably journalled in the bracket 30 and rotatable by worm gear 60 operated by a knob 62. Vertical displacement of the carriage 12 on the slidway 11 is effected by a hand crank 49 operating a shaft 75 carrying a worm 76 engaging a pinion 50 integral with a pinion 52 co-operating with a rack 53 on the standard 10. The shaft 75 can be rocked about a pivot 79 to disengage the worm 76 from the pinion 50. Vertical displacement is then effected by means of a hand crank 77 on a shaft 51 carrying the pinions 50, 52. When it is desired to grind the crank pins, the plate 16 is adjusted in the slot 17 until the chuck plate 16' is eccentric to the plate 3 by an amount equal to the throw of the crank, the upper end of the crank shaft being supported by one end of an arm, adjustable in length to be equal to the throw, the other end of the arm engaging the centre 21."
22,115102,20961213,"644,309. Electrolytic manufacture of alkalimetal chlorites. SOLVAY & CIE. Jan. 7, 1947, Nos. 567 and 568. Convention dates, Jan. 31, 1946 and July 19, 1946. [Class 41] An electrolytic process of manufacture of alkali-metal chlorites comprises reaction between an alkali metal hydroxide and chlorous acid, the acid being obtained by cathodic reduction of chlorine dioxide and caused to react with the hydroxide in proximity to the cathode of the electrolyte cell where the chlorous acid has been formed. In modifications of the invention the reaction is between chlorine dioxide and an alkali-metal amalgam or an alkali-metal salt. In the arrangement shown in Fig. 1, sodium hydroxide is introduced into the anode compartment A and passed through a diaphragm D into the cathode compartment C to which chlorine dioxide is supplied through a cathode K in the form of a diffuser of graphite or other porous material. Oxygen is freed at the anode. In the arrangement shown in Fig. 3, an alkali metal amalgam is supplied to the bottom of a compartment A which is separated by a diaphragm D from a compartment C supplied with chlorine dioxide through a porous member K. This member is connected by a conductor E to the amalgam, the cell becoming a voltaic cell in which the amalgam is decomposed and alkali-metal chlorite is produced. In the arrangement shown in Fig. 5, the cathode solution is circulated by a pump M between the cathode compartment C of an electrolytic cell and a scrubber B on which the solution is saturated with chlorine dioxide. Brine enters the anode compartment A at the bottom and overflows at the top. Part of the catholyte is removed through a pipe P and the chlorine dioxide therein is separated from alkali-metal salts by known means, for example evaporation or crystallization. In the process described the catholyte may be supplied with hydrogen peroxide or acid to ensure that no chlorate is formed."
23,120265,22318176,"537,491. Valve oscillators. STANDARD TELEPHONES & CABLES, Ltd., and FREMLIN, J. H Dec. 22,1939, No. 32816. [Classes 39 (i) and 40 (v)] The capacity, and therefore the period, of hollow resonators for use in electron oscillators, particularly in oscillators such as that described in Specification 537,490, in which an electron beam velocity modulated by passing through a resonator produces oscillations on passing through a second resonator, is varied by varying an electronic space charge within the resonator or the velocity or density of an electron beam passing through the resonator, these operations being performed in known ways."
24,120635,20977566,"620,247. Seats. LORENZ, A. Jan. 11, 1947, No. 1024. Convention date, Jan. 12, 1946. Addition to 597,738. [Class 52(ii)] The constructions disclosed in the parent Specification are modified so as to incorporate one or all of the following modifications, viz.-the link system is arranged on the support so as to be swingable on two axes, the link system is not restricted to two connecting links only and the controlling surface on a connecting link for co-operation with the leg rest may be disposed on a connecting link other than the front one. Fig. 1 shows an arrangement wherein the seat 826 and back 824 are pivoted to the support 820 on two separate axes 829, 828 respectively and an intermediate connecting link 837 is interposed between the top and front connecting links 830, 832 respectively, the link 837 being integral, or rigidly connected, with the guiding or controlling link 842 pivoted to the support 820 at 844. Fig. 2 shows an arrangement in which the top connecting link 930 is prolonged at 931 and provided with a controlling lug or cam 964 loosely engaging a prolongation 990 of the leg rest 948 pivoted to the seat 926 at 938 so that independent movement of the leg rest 948 about its pivot 938 may be performed by hand. The link system is also swingable on the support 920 on two axes 928, 929. The locking arrangements described in the parent Specification may be used."
25,121710,21805559,"In a process for the preparation of alkanolamines by treating olefine oxides with ammonia in aqueous solution there is added to the reactants prior to reaction a quantity of the secondary alkanolamine whose formation it is desired to suppress or reduce which is greater than the quantity of the same formed at equilibrium for a given ammonia/oxide ratio without said prior addition, and is proportional to the quantity of primary alkanolamine formed at equilibrium under the same conditions. The p invention has particular reference to the production of ethanolamines. Graphs are provided in which the percentage composition of the equilibrium mixture obtained in terms of mono-, di- and tri-ethanolamine is plotted against ammonia/oxide molecular ratios at 15 DEG C. and the quantity of di-ethanolamine to be added to suppress its formation is also plotted against the molecular ratio of ammonia/ethylene oxide. If an excess of diethanolamine is added only mono- and tri-ethanolamine will be obtained by the process and some of the added di-ethanolamine will be converted into the other two ethanolamines. Propylene oxide and higher olefine oxides which react with ammonia may also be used. Five examples are given in which various concentrations of ethylene oxide and 0.92 aqueous ammonia are reacted at 15 DEG C. in the presence of various quantities of di-ethanolamine."
